"","Despesas","Divida","PIB","PIB.per.capita","Nacao","Year"
"1",NA,NA,5.433e+11,3007.12344537862,"USA",1960
"2",NA,NA,6.858e+11,3573.94118474743,"USA",1964
"3",NA,NA,9.425e+11,4695.92339043178,"USA",1968
"4",17.7983128894309,NA,1.27911e+12,6094.01798986165,"USA",1972
"5",19.73244539909,NA,1.873412e+12,8592.25353727612,"USA",1976
"6",20.5441697374486,NA,2.857307e+12,12574.7915062163,"USA",1980
"7",21.470358848161,NA,4.037613e+12,17121.2254849995,"USA",1984
"8",21.0303263401572,NA,5.236438e+12,21417.0119305191,"USA",1988
"9",21.8183842620163,46.0501444176036,6.520327e+12,25418.9907763319,"USA",1992
"10",20.0053956821165,46.7417685500108,8.073122e+12,29967.7127181749,"USA",1996
"11",17.9240936276745,33.263120248676,10252345464000,36334.9087770589,"USA",2000
"12",20.4577330144392,56.6783896767545,12213729147000,41712.8010675545,"USA",2004
"13",22.8815678381385,64.0622298869459,14712844084000,48382.5584490552,"USA",2008
"14",23.9997742560758,94.163413471203,16197007349000,51610.6052783379,"USA",2012
"15",22.5706239064847,99.0171145300394,18707188235000,57927.5168515062,"USA",2016
"16",NA,NA,15822585033.5764,2114.00297269192,"SWE",1960
"17",NA,NA,22532416750.0125,2941.04889945204,"SWE",1964
"18",NA,NA,31066819929.2853,3926.40900146965,"SWE",1968
"19",23.1976451331768,NA,48553327544.9353,5977.78062186023,"SWE",1972
"20",26.8659286380562,NA,88630408365.665,10779.2903780852,"SWE",1976
"21",33.9606676891335,NA,140928671363.722,16957.8419674654,"SWE",1980
"22",37.994364798238,NA,108307262578.882,12991.7709401948,"SWE",1984
"23",34.8193222783234,NA,205291944803.499,24333.8128934322,"SWE",1988
"24",40.0353899962978,NA,281993200315.945,32532.4204711321,"SWE",1992
"25",40.396613454473,NA,289755592007.158,32774.0818408915,"SWE",1996
"26",34.732624854558,NA,261337451703.739,29456.0686420488,"SWE",2000
"27",32.7806878627703,NA,382624474411.136,42544.4104669386,"SWE",2004
"28",31.6961046385154,NA,515413663880.081,55903.8998910782,"SWE",2008
"29",32.8514182973038,NA,550926978153.434,57874.2864975611,"SWE",2012
"30",32.0128701510191,NA,515744370225.386,51974.196555344,"SWE",2016
"31",NA,NA,NA,NA,"RUS",1960
"32",NA,NA,NA,NA,"RUS",1964
"33",NA,NA,NA,NA,"RUS",1968
"34",NA,NA,NA,NA,"RUS",1972
"35",NA,NA,NA,NA,"RUS",1976
"36",NA,NA,NA,NA,"RUS",1980
"37",NA,NA,NA,NA,"RUS",1984
"38",NA,NA,554713455149.502,3777.2353728423,"RUS",1988
"39",NA,NA,460290556900.726,3095.6597791412,"RUS",1992
"40",NA,NA,391724890744.498,2643.93074851111,"RUS",1996
"41",21.1628915021522,62.1488888669576,259710142196.943,1771.59782952435,"RUS",2000
"42",21.5738426684628,NA,591016690742.798,4102.37229354879,"RUS",2004
"43",21.5321667594705,6.49528743788997,1660846387624.78,11635.2742379874,"RUS",2008
"44",24.1743856810078,8.54382076495329,2210256976945.38,15434.5747807126,"RUS",2012
"45",30.8848360755126,14.1758237480639,1282723881134.01,8745.37511683101,"RUS",2016
"46",NA,NA,40385288344.1911,804.492623346178,"ITA",1960
"47",NA,NA,63175417019.0094,1222.5445404629,"ITA",1964
"48",NA,NA,87942231678.3505,1651.93937679756,"ITA",1968
"49",NA,NA,145260039508.632,2671.13730836617,"ITA",1972
"50",30.0098550240128,NA,224717279134.683,4033.09936697023,"ITA",1976
"51",38.570832757743,NA,477256776396.111,8456.91898245086,"ITA",1980
"52",NA,NA,437887688781.133,7739.71527972218,"ITA",1984
"53",42.4200032525161,NA,891608957601.904,15744.6612714238,"ITA",1988
"54",47.0796036587564,77.4636589850747,1320161645718.77,23243.4745415513,"ITA",1992
"55",47.3847342989257,NA,1312426527795.21,23081.6046757702,"ITA",1996
"56",39.5021268002934,NA,1143829832319.88,20087.5919858794,"ITA",2000
"57",38.8814027772135,NA,1803226967966.23,31259.7164954309,"ITA",2004
"58",40.7006926912228,NA,2398856598798.89,40778.3427367209,"ITA",2008
"59",43.338395638845,NA,2087077032435.15,35053.5262442572,"ITA",2012
"60",43.2684762667581,NA,1875579883543.09,30936.125444977,"ITA",2016
"61",NA,NA,NA,NA,"HUN",1960
"62",NA,NA,NA,NA,"HUN",1964
"63",NA,NA,NA,NA,"HUN",1968
"64",NA,NA,NA,NA,"HUN",1972
"65",NA,NA,NA,NA,"HUN",1976
"66",NA,NA,NA,NA,"HUN",1980
"67",NA,NA,NA,NA,"HUN",1984
"68",NA,NA,NA,NA,"HUN",1988
"69",51.4535666929081,75.4756911847562,38730585920.9529,3735.10582022067,"HUN",1992
"70",46.7896137556592,74.8238105500958,46658755151.6017,4525.03910312241,"HUN",1996
"71",41.3571337007691,60.8047611942673,47218405892.4258,4624.28165670295,"HUN",2000
"72",41.6747096198559,62.7110186964205,103960017914.058,10285.7936270098,"HUN",2004
"73",44.3418714486138,71.9873543967243,158136326477.965,15753.4732840195,"HUN",2008
"74",44.8198917565316,93.6404899762305,128153691809.347,12918.2475205388,"HUN",2012
"75",43.8831892670696,96.1864484805675,127507473625.632,12992.375667515,"HUN",2016
"76",NA,NA,73233967692.1028,1397.5948032844,"GBR",1960
"77",NA,NA,94407558351.1616,1748.2881176141,"GBR",1964
"78",NA,NA,107759910067.889,1951.75859587532,"GBR",1968
"79",29.5118582302289,NA,169965034965.035,3030.43251411977,"GBR",1972
"80",36.4449594438007,NA,232614555256.065,4138.16778761535,"GBR",1976
"81",35.5598793897086,NA,564947710899.373,10032.062080015,"GBR",1980
"82",36.8195626985179,NA,461487097632.349,8179.19444064991,"GBR",1984
"83",30.9724412757416,NA,910122732123.799,15987.1680775688,"GBR",1988
"84",37.6406266271925,30.3997500632281,1179659529659.53,20487.1707852878,"GBR",1992
"85",34.1765454755882,43.6283473593131,1415358814352.57,24332.6977665594,"GBR",1996
"86",32.6735429438754,42.6074543810027,1657816613708.58,28149.8700107891,"GBR",2000
"87",36.1777039802201,42.7380526736801,2416931526913.22,40290.3139710116,"GBR",2004
"88",39.8921085254643,55.2461081644424,2922667279411.76,47286.9984928367,"GBR",2008
"89",42.3666473751125,99.2474541864522,2704887678386.72,42462.771568145,"GBR",2012
"90",37.6766681082587,114.972244759278,2694283209613.29,41064.1334316223,"GBR",2016
"91",NA,NA,62225478000.8822,1334.69005583825,"FRA",1960
"92",NA,NA,94007851047.3678,1909.54123238543,"FRA",1964
"93",NA,NA,129785441507.456,2536.0850645089,"FRA",1968
"94",30.0052383323359,NA,203494148244.473,3854.55678433954,"FRA",1972
"95",33.7654676272315,NA,372319038514.067,6866.81828557848,"FRA",1976
"96",36.4646629981508,NA,701288419745.421,12713.3612480565,"FRA",1980
"97",41.0689282112635,NA,530683779929.445,9419.69764827399,"FRA",1984
"98",39.7261494705704,NA,1018847043277.17,17679.996995809,"FRA",1988
"99",41.5338830746026,NA,1401465923172.24,23813.7118417151,"FRA",1992
"100",47.1372999027363,NA,1605675086549.56,26871.8290189054,"FRA",1996
